feature,missing_ratio,mean,std,min,max,skewness
INTC_vol_20d,0.0,0.022217595243278286,0.013171560084015549,0.0050959928799225,0.0876736971478934,1.8630723769609652
INTC_volchg_5d,0.0,0.07798786971239981,0.59751087774727,-0.7911377813625525,8.905025388875847,3.5085643992218207
AVGO_ret_1d,0.0,0.0017076630710774936,0.02488642396819954,-0.1991290790117228,0.2443263505751063,0.394753634352587
AVGO_ret_5d,0.0,0.008477741986630372,0.05354247517554144,-0.3175183732643337,0.3982305985751002,0.4600963373679409
AVGO_ret_20d,0.0,0.03351994159387429,0.0995798571404054,-0.4682441469066259,0.5386310516163493,0.4613502105479053
AVGO_vol_20d,0.0,0.02259122714889936,0.010604536070597142,0.006530123912652,0.0921673762306539,2.376202917706328
AVGO_volchg_5d,0.0,0.11085282410389535,0.8860279256909139,-0.8312630897978596,24.663481710165904,11.180664608111412
QCOM_ret_1d,0.0,0.0006059963515893579,0.02387730279750803,-0.1525057896230482,0.2320740918545472,0.42393717595674285
QCOM_ret_5d,0.0,0.0030922828485736736,0.05249066316502931,-0.2352305861795688,0.4335432106194552,1.2243487850988686
QCOM_ret_20d,0.0,0.01277660684112266,0.11067544336390753,-0.3243153679733916,0.8593346284093688,1.6910179926825657
QCOM_vol_20d,0.0,0.021073620908806615,0.010921132282001214,0.003741418958908,0.0767899978341503,1.7340412974707333
QCOM_volchg_5d,0.0,0.09139999094560461,0.7967938865605951,-0.832757327071776,13.354506265542254,7.108125622748295
AMAT_ret_1d,0.0,0.00151262960732837,0.02609223894035418,-0.2035763555630714,0.1610575987310216,-0.08252985790527347
AMAT_ret_5d,0.0,0.007431473163382728,0.05522943518753915,-0.253572127027598,0.2521798365856853,0.0339268482409571
AMAT_ret_20d,0.0,0.028403161867308107,0.1078188771215105,-0.4187806233988006,0.5165760974114546,0.266969264682365
AMAT_vol_20d,0.0,0.023936447526845667,0.0103264073079016,0.0074751835192976,0.0946825160663249,2.1280549255209413
AMAT_volchg_5d,0.0,0.06307677990448167,0.5660427392235885,-0.8199133852454606,10.591545203366282,4.796601092106515
LRCX_ret_1d,0.0,0.0017837234987349501,0.027051882497220556,-0.1842768545228056,0.195955372492284,0.13698169653256123
LRCX_ret_5d,0.0,0.008773498153115561,0.05743919148179743,-0.2981961651832996,0.3350085190539249,0.07966581250082097
LRCX_ret_20d,0.0,0.03386603057228252,0.11127598626583914,-0.4184813379195781,0.5901571486873756,0.28173011191581404
LRCX_vol_20d,0.0,0.024562817125344263,0.01129561878110691,0.0073704706479432,0.1008497197237986,1.9990027565230932
LRCX_volchg_5d,0.0,0.06721247805661448,0.5728123683702453,-0.8253740010507977,8.541721502973914,3.5001136140672426
KLAC_ret_1d,0.0,0.0015314564779169992,0.025430845991963186,-0.2001663548740085,0.1878944629964725,0.07789376188119176
KLAC_ret_5d,0.0,0.007479922541554681,0.05204949262769973,-0.2156565549546224,0.3194069858077917,0.10691381136488581
KLAC_ret_20d,0.0,0.02852853092455392,0.09882688174256887,-0.2985675674954576,0.4912270597213215,0.4787246782546303
